"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"77",106,19,16101,4,6,28,33,35,7,12,11,5,2
"535",83,15,16102,3,5,6,34,35,3,12,-23,-4,4
"638",91,14,16103,5,14,20,23,29,3,11,8,-1,1
"705",96,13,16104,1,20,22,23,30,6,7,5,-1,1
"174",119,3,16105,8,11,31,34,35,1,2,23,-10,1
"188",122,5,16106,3,21,30,33,35,1,4,3,2,1
"460",77,10,16107,2,6,19,24,26,4,6,-45,5,1
"727",97,16,16108,10,17,22,23,25,7,9,20,6,2
"184",121,23,16109,3,25,28,31,34,11,12,24,7,1
"26",101,17,16110,7,20,21,23,30,7,10,-20,-6,3
"567",85,14,16111,1,9,22,26,27,2,12,-16,-3,3
"148",115,9,16112,7,22,23,31,32,4,5,30,-5,2
"41",102,15,16113,10,11,17,30,34,3,12,-13,6,1
"167",118,10,16114,16,17,20,32,33,3,7,16,-5,1
"564",85,13,16115,1,4,15,31,34,2,11,-33,3,3
"406",71,22,16116,4,6,8,19,34,10,12,-14,9,1
"348",65,11,16117,3,9,14,16,23,2,9,-6,-11,1
"741",98,14,16118,12,15,18,24,29,3,11,33,3,1
"293",57,15,16119,2,3,9,21,22,5,10,-41,1,1
"751",99,11,16120,3,10,20,32,34,4,7,42,-4,2
"273",52,7,16121,4,5,8,15,20,1,6,-47,-4,1
"310",59,8,16122,1,3,12,14,29,2,6,7,1,1
"429",74,11,16123,4,5,13,20,32,1,10,15,3,1
"710",96,19,16124,4,13,24,26,29,8,11,22,8,2
"490",79,3,16125,6,7,8,28,30,1,2,-17,-16,1
